date,median,var,0.95_low,0.95_high,0.5_low,0.5_high
2021-06-05,0.96136284,Lambda,0.9393122,0.98703915,0.95346177,0.97025853
2021-06-06,0.95669687,Lambda,0.9353732,0.98151296,0.9489234,0.96521795
2021-06-07,0.95200944,Lambda,0.9316155,0.97622293,0.94433904,0.9601505
2021-06-08,0.9472488,Lambda,0.92736834,0.9711667,0.9398617,0.9551351
2021-06-09,0.94261223,Lambda,0.92350614,0.9657221,0.9353062,0.9502089
2021-06-10,0.9379388,Lambda,0.91868424,0.9599936,0.93067294,0.94538224
2021-06-11,0.93310165,Lambda,0.91439915,0.9547144,0.9260073,0.9405224
2021-06-12,0.92838216,Lambda,0.9098865,0.9494132,0.9214029,0.93586135
2021-06-13,0.92391145,Lambda,0.9057929,0.9441803,0.91701585,0.9313191
2021-06-14,0.9191714,Lambda,0.9012717,0.93958837,0.912516,0.9265847
2021-06-15,0.91473264,Lambda,0.89653754,0.9349659,0.90807265,0.9219744
2021-06-16,0.91009104,Lambda,0.8918189,0.9297157,0.9035558,0.9173035
2021-06-17,0.9054457,Lambda,0.8875526,0.9254541,0.89902437,0.9129156
2021-06-18,0.9011129,Lambda,0.8831009,0.92111075,0.8946513,0.9084098
2021-06-19,0.8967515,Lambda,0.8788187,0.91651833,0.8900874,0.90382147
2021-06-20,0.89235806,Lambda,0.8741414,0.9123489,0.88568175,0.8993348
2021-06-21,0.88798654,Lambda,0.8691308,0.9079381,0.8811852,0.8948334
2021-06-22,0.8835786,Lambda,0.864042,0.90350777,0.8766177,0.89029795
2021-06-23,0.8792651,Lambda,0.85949147,0.8993851,0.87223834,0.88588184
2021-06-24,0.8748578,Lambda,0.8549696,0.8951426,0.8676094,0.8816875
2021-06-25,0.8705648,Lambda,0.8504774,0.89170104,0.86316186,0.8776209
2021-06-26,0.8661608,Lambda,0.8456046,0.8879347,0.858697,0.87319994
2021-06-27,0.8617635,Lambda,0.8407171,0.8841206,0.8543872,0.8690118
2021-06-28,0.8574765,Lambda,0.8359736,0.8801003,0.84992355,0.8647803
